관리기관명,경로당명,소재지,연락처,위도,경도,고도
강서구,대저경로당,부산광역시 강서구 대저로277번길 18-1 (대저1동),,35.21305372,128.9830931,0
강서구,대저할머니경로당,부산광역시 강서구 공항로1309번길 137-8 (대저1동),,35.21505265,128.9811402,0
강서구,신장로경로당,부산광역시 강서구 대저로299번길 72 (대저1동),,35.21438797,128.985284,0
강서구,사덕상리경로당,부산광역시 강서구 체육공원로6번길 84 (대저1동),,35.20682796,128.9782955,0
강서구,사덕상리할머니경로당,부산광역시 강서구 체육공원로6번길 84 (대저1동),,35.20682796,128.9782955,0
강서구,신덕경로당,부산광역시 강서구 신덕길1번길 16-13 (대저1동),,35.20034855,128.9680157,0
강서구,신덕할머니경로당,부산광역시 강서구 신덕길1번길 16-13 (대저1동),,35.20034855,128.9680157,0
강서구,번덕경로당,부산광역시 강서구 대저중앙로394번가길 50 (대저1동),,35.21706786,128.9860523,0
강서구,번덕할머니경로당,부산광역시 강서구 대저중앙로394번가길 50 (대저1동),,35.21706786,128.9860523,0
강서구,신촌경로당,부산광역시 강서구 대저중앙로286번길 32 (대저1동),,35.21962267,128.9789215,0
강서구,신촌할머니경로당,부산광역시 강서구 대저중앙로286번길 32 (대저1동),,35.21962267,128.9789215,0
강서구,서연정경로당,부산광역시 강서구 대저로89번가길 99-7 (대저1동),,35.21805007,128.9682481,0
강서구,서연정할머니경로당,부산광역시 강서구 대저로89번가길 99-7 (대저1동),,35.21805007,128.9682481,0
강서구,대지상리경로당,부산광역시 강서구 대저로89번나길 8 (대저1동),,35.21782222,128.9640495,0.630020142
강서구,상리할머니경로당,부산광역시 강서구 대저로89번나길 8 (대저1동),,35.21782222,128.9640495,0.630020142
강서구,중리1구경로당,부산광역시 강서구 대저중앙로71번가길 39 (대저1동),,35.22061028,128.9557563,0.64171052
강서구,중리2구경로당,부산광역시 강서구 평강로345번길 105,,35.219229,128.945594,0.000927666144
강서구,중촌경로당,부산광역시 강서구 대저로49번길 75 (대저1동),,35.2183158,128.9575198,0
강서구,평강경로당,부산광역시 강서구 낙동북로212번길 17 (대저1동),,35.21352665,128.9510162,0.991207361
강서구,평강할머니경로당,부산광역시 강서구 낙동북로212번길 17 (대저1동),,35.21352665,128.9510162,0.991207361
강서구,대리경로당,부산광역시 강서구 평강로229번가길(대저1동),,35.209012,128.943732,0
